term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,dfidf,mean_tfidf
you,0.0173584718731648,0.0029751430430277,-0.0081159631177912,0.002647139486007,-0.0095427912845387,0.0304615475892335,0.0104863955881145,0.0009998394155379,-0.0074957651652153,0.0430307616060013,14,0.0001826079017047,12.4189631854012,3,NNP,2,"{'NN', 'NNP'}",1,9.316952533289973,0.004077360833809
version,0.0093533380107116,0.0010320335478206,-0.0079876389637499,0.0027740103217558,0.0001749668964032,-0.0018107219934813,0.0022737925386299,0.0044952138604744,0.0023873380600161,-0.0027798187480803,7,9.13039508523876e-05,13.4189631854012,7,NN,1,{'NN'},0,9.316952533289973,0.0017455424109486
duty,0.0020839122092875,0.0036824247401354,0.0027065666516706,-0.0064173990783464,0.0058249724709177,-0.0048707412600532,-0.0004891238863424,0.0030172900673167,-0.0142670772959491,0.0202197242525493,10,0.0001304342155034,12.904390012571442,4,NN,1,{'NN'},0,9.316952533289973,0.0021557524225354
max,-0.0448337674680535,-0.0292755567274446,-0.0234011121833913,-0.0533312338338285,-0.0112319263446074,0.0203657467133612,-0.0263901209327929,-0.0053163734916236,-0.0426056344551822,0.0238508502256339,24,0.0003130421172081,11.641355606737648,3,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0070835347162996
representatives,0.0045786490456406,-0.010173758920121,0.0113296865791292,-0.0001013935134201,-0.0028555488871333,0.0098546613674017,-0.006435237842082,0.0098721589782146,-0.0050119957020509,-0.0042243115237671,10,0.0001304342155034,12.904390012571442,15,NNS,1,{'NNS'},0,9.316952533289973,0.0035284851687716
resistant,-0.0062153146056221,-0.00536751013583,0.0072648002506464,-0.0090574360970381,-0.0094591871582776,-0.0046569308713348,0.0061598585497259,-0.003162308707107,-0.0044552094050866,0.0002478389595049,7,9.13039508523876e-05,13.4189631854012,9,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.005470612994067
up,-0.0041944460306096,0.0144108174359226,-0.0005706167656264,0.0040804534656782,-0.0025010701060544,0.0272285466398633,-0.0174174777226531,0.0222118811050996,-0.0256746398851098,-0.0134430984777834,18,0.0002347815879061,12.056393106016492,2,NNP,1,{'NNP'},1,9.316952533289973,0.0071708911978363
modifications,-0.0013899944266077,-0.0095636443602494,0.0292274285433033,0.0116549775561915,-0.0197272865931266,0.000565784751348,0.0086966335011556,-0.0262205174078067,-0.0118924907187765,0.0018322955518861,12,0.000156521058604,12.641355606737648,13,NNS,2,"{'NNS', 'NNP'}",0,9.316952533289973,0.0100895461551853
idea,-0.0064561404723156,-0.0038345564753146,0.0048983612822633,0.0082831214325223,-0.0017002688494433,0.0143860926706278,-0.0108907684830937,0.002636572877132,0.0038167939188901,3.899689485096624e-05,10,0.0001304342155034,12.904390012571442,4,NN,1,{'NN'},0,9.316952533289973,0.005644269707337
large,0.0021215192335562,0.0082321965880197,0.0006998611409681,0.0013522521761636,0.0002164024272556,0.0102674034591758,0.0039627196116543,-0.0023979096499459,0.0010428267518897,0.010647847427277,9,0.000117390793953,13.056393106016492,5,NNP,1,{'NNP'},0,9.316952533289973,0.0040936162838584
