term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
range,-0.005653363759724656,-0.01718108503445012,0.014048183554310452,-0.009978324811658917,-0.0075386237503076185,-0.007988347136574363,0.016607183706685427,0.022836834265781106,0.00024092148853588683,0.017533824241353774
phone,-0.028338573251994067,-0.022392207536683983,-0.002454833795901714,0.05708698149340239,-0.02670412210696818,-0.006927911810345003,-0.07358547818256496,0.026550885433070576,-0.017079993146730414,-0.048471971265870925
expertise,-0.003695865195557489,0.011757777930699343,0.01639970633364901,0.02360246101574639,0.018300571501765003,-0.0033249933999620613,0.017716644622541175,0.04359848787831296,0.06553347831138502,0.009544949106796471
site,0.09330908537220646,0.00017466600135184813,-0.15337824230858188,-0.03799152813900487,0.017246672787353406,-0.05989356723754194,-0.01303863550456886,-0.04300986811352184,-0.01907346049635868,0.041022675954639126
team,-0.028428328910164908,-0.0335991440576696,0.012497353450835176,0.057780061342366656,0.0035748536830723953,0.008840003171940697,0.015397469853611411,0.06422228445097236,0.03376167427307506,0.026199523051106455
management,0.004563987637315129,-0.0013449223003054896,0.023507818502461208,0.04739389613266665,0.006673156238980862,-0.007798285739114183,0.031198380089837364,0.053217490277479886,0.026967812335708247,0.01306013915840574
alloy,-0.06087004620786247,0.027016586231677,-0.05890190437072012,-0.07027973810331274,0.014897404378621958,-0.037700931461154275,-0.06702544111664271,0.00553274173230869,-0.20917965207844075,-0.020626375574185254
project,-0.02098085760782945,0.006996468602905285,0.003426734177170131,0.04317670741500539,0.018102262923763414,0.003226550545706393,0.02170663266021334,-0.023854428843398206,0.01494857919757452,0.005115385166401599
die,-0.27851158073872845,-0.4170499178258437,-0.0471475622185131,-0.12711435404094462,-0.09484955884343833,0.08212833459920303,-0.01397852183795691,-0.060908480810787445,0.18161385830633459,-0.16173198734097413
support,0.011043136631695673,-0.0028024420155652453,0.011136259654493474,0.001058938207456548,0.025977230520603935,-0.005541452895693943,0.01961692684135835,-0.010891539550061736,0.03568699901930982,0.011577518673591731
needs,-0.001961100085808337,0.008468312103424157,0.004637517009629767,0.019382364008271126,0.011310417019650363,0.012805207322274498,0.01766557593667751,0.0151477200192541,0.015630582162403966,0.02776572040975334
metal,-0.02712605982097232,0.040634705480711575,-0.03583086219034777,-0.003615139712618873,-0.031311992135581196,0.020825815066376586,0.04793495608784495,-0.052062499527781414,0.004219943157705941,0.043083145342830836
performance,0.0003219976323099691,-0.0052337158341625185,0.016767718401767127,0.02292558494577962,0.007730976717090072,0.004154161523117872,-0.0023462171420160277,0.016975983271069757,-0.036436041781887835,0.019064032409151967
cnc,-0.04298803638121911,-0.06894954477128991,0.06324098736154107,0.1641867500323075,0.1278649597914765,-0.1290592517150712,0.18994115157030783,-0.24132337229662534,-0.029525803042164435,-0.08894135624628283
custom,-0.016178605786783092,-0.008508196808877915,0.02187580833459392,-0.033336267796098926,-0.012836761750506546,0.015198163089132851,0.09221793369338029,-0.016202668797180388,0.04344369854350269,-0.015702083569612134
quote,0.023364244970457426,0.0073132898636970485,-0.08735424125509468,0.002315470624428623,0.014451876517063932,-0.013685941804167958,0.01720330131523636,0.008496218243278706,-0.017862209753384234,-0.01924363682265669
employees,-0.007814568171044664,-0.007658151465894013,0.009939067454271608,0.01832660268714184,-0.0011574540477165838,0.010497055412444181,0.0062553330693372305,0.02103119912090636,0.008902129429367547,-0.006042912928978467
manufacturer,0.022558697800983806,0.01042552959198317,0.0068751151449354,-0.03226072932496386,0.005481181953641604,-0.03303791066084576,0.022413577278601833,0.036031382457604594,-0.027545468456497253,-0.014095741682089529
times,-0.016962868501335153,0.027500660774076247,-0.014877854815140175,0.012989851387142178,0.002798064498559165,-0.0017304223818434415,-0.013810067205331435,0.012023486662464616,-0.016421277281986724,0.015208879093008557
a,-0.012798829999797352,0.015630727557070255,-0.0067647574710121925,0.002172507812957529,-0.010310747979184817,-0.008661794107149933,0.02479716504485813,-0.01858517826326981,-0.014761614785941735,0.008722594051511805
development,0.027982268595942633,-0.0230597737169082,0.04745998952678691,0.07277532861135852,-0.005219129480423911,-0.02413957166160896,0.031525033861021796,0.11209823266568256,0.05621891348669474,-0.019517840714248103
